sub_domain,Correct
وسائل التواصل الاجتماعي والتغير الاجتماعي,1.0
#المرجع (اللياقه البدنيه) للدكتور (خالد صلاح)ص17,1.0
كيمياء الغذاء,1.0
كيمياء السطوح - تآكل,1.0
كيمياء البيئة,1.0
فيزيائية - سوائل,1.0
كيمياء البترول - تقليل الانبعاثات,1.0
كيمياء,1.0
كرة القدم,1.0
كتاب سؤال وجواب في كره القدم تحت اشرف احمد فارس صالح مشرف التربيه الرياضيه بمديريه وزاره التعليم صفحه 31 http://bit.ly/35JDRyy,1.0
كيمياء صناعية - بوليمرات -فيزيائية,1.0
كيمياء صناعية - بوليمرات,1.0
قياس وتقويم,1.0
فيزيائية - كيمياء الكم,1.0
قدرات عقلية,1.0
قطاع الطاقة المتجددة,1.0
علم نفس نمو,1.0
كامل، مصطفى (2008). علم الحركة، برنامج الإصابات الرياضية والتأهيل البدني، الأكاديمية الأولمبية لإعداد القادة الرياضيين، مصر.,1.0
فيزيائية - طاقة حرة,1.0
التنوع والشمولية في الموارد البشرية,1.0
الاقتصاد الازرق,1.0
الاقتصاد الصيني,1.0
الأغلفة المحيطة بالأرض,1.0
الانتقا في المجال الرياضي,1.0
الأنظمة المقارنه,1.0
الاقتصاد الاخضر,1.0
غير عضوية - مركبات تناسقية,1.0
غير عضوبة - علم المواد,1.0
التلوث,1.0
التوظيف والاستقطاب,1.0
التوبولوجي,1.0
الأشعة السينية,1.0
الاستدامه في إدارة الموارد البشرية,1.0
الأدب المقارن,1.0
الارشاد النفسي,1.0
الاستدامة في إدارة الموارد البشرية,1.0
التنوع والشمولية في إدارة الموارد البشرية,1.0
التوازن الاقتصادي,1.0
علم النانو - ميكانيكية البوليمرات,1.0
علم نفس الاجتماعي,1.0
علم الحضور,1.0
علم نفس,1.0
علم علم نفس معرفي,1.0
السياسة المالية,1.0
التخطيط الاستراتيجي,1.0
التخطيط الاستراتيجي في إدارة الموارد البشرية,1.0
السلوك الحيواني,1.0
الشعر الحديث,1.0
السياسة النقدية,1.0
الرواتب و الحوافز,1.0
التحليل العددي,1.0
التحليل الطيفي-أشعة فوق البنفسجية,1.0
التدريب والتطوير,1.0
التربية الحركية,1.0
التغذية للرياضيين,1.0
التغير المناخي,1.0
التنوع والشمولية,1.0
التخطيط الاستراتيجي في الموارد البشرية,1.0
التنوع و الشمولية في إدارة الموارد البشرية,1.0
التنمية الاقتصادية,1.0
علم المواد -التراكيب الهندسية,1.0
القطاع غير النفطي,1.0
علم النفس الارشاد,1.0
الخواص الميكانيكية للبوليمرات,1.0
الخلايا الشمسية العضوية,1.0
الخلايا الشمسية,1.0
علم نفس إداري,1.0
علم نفس تعليمي,1.0
علم نفس تحليلي,1.0
علم نفس تجريبي,1.0
علم نفس النمو و الشيخوخة,1.0
الحشحوش، خالد محمد (2017). الرياضات المائية والتجديف: مكتبة المجتمع العربي للنشر والتوزيع.,1.0
الحكومة الإلكترونية,1.0
تطبيقات الكيمياء الكهربائية,1.0
جيولوجيا المياة,1.0
جيولوجيا البترول,1.0
الأدب الجاهلي/ صدر الإسلام,1.0
إدارة عامة,1.0
إعادة تدوير- الزجاج,1.0
استبقاء الموظفين,1.0
شمعون، محمد العربي (2017). علم النفس الرياضي التطبيقي ودليل الأخصائي النفسي، مصر: دار الفكر العربي.,1.0
صالح، صالح محمد (2016). الإسعافات الأولية، ملؤسسة عالم الرياضة للنشر السلسلة: الإنقاذ المائي الحديث.,1.0
صناعية - غير عضوية,1.0
ريادة أعمال,1.0
تاريخ العالم,1.0
تاريخ العالم العربي,1.0
تاريخ العرب القديم,1.0
سياسات اقتصادية,1.0
بوليمرات  -علم المواد- فيزيائية,1.0
بوليمرات طبيعية - كيمياء حيويه - بروتينات,1.0
بوليمرات صناعية -علم المواد,1.0
بوليمرات طبيعية - كيمياء حيويه,1.0
الكيمياء التحليلية - طيف الكتلة,1.0
الكيمياء التحليلية - كروماتوغرافي,1.0
الكيمياء الفيزيائية,1.0
الكيمياء الكهربائية,1.0
عضوية -ثابت التحلل,1.0
عضوية - التحليل الطيفي,1.0
علم الأصوات,1.0
طاقة - حرارية - ثرمودايناميك,1.0
عضوية,1.0
علم البحار,1.0
عباسي,1.0
طاقة - نووية,1.0
المعادلات التفاضلية,1.0
اللغويات الحاسوبية,1.0
المال والأسواق المالية,1.0
اللياقىة البدنية,1.0
العصر الجاهلي,1.0
المنطق,1.0
المواد -  فيزيائية,1.0
الموارد البشرية,1.0
المعاجم,1.0
اللياقة البدينة,1.0
المعادن والتعدين,1.0
الطاقة المتجددة,1.0
الفكر السياسي الإسلامي,1.0
الطاقة الحرارية,1.0
الصرف,1.0
الصحة واللياقة,1.0
الفكر السياسي,1.0
